ID_REF	leaf1	leaf2	protoplast1	protoplast2
265532_at	11.46472623	10.72146391	9.268783488	9.904334228
265533_at	8.1025162	8.408975257	7.782210478	7.808416456
265534_at	8.756109522	8.756109522	8.756109522	9.095355324
265535_at	41.01642936	54.31090506	123.6544201	150.0500511
265536_at	14.07858076	17.7661602	18.86172868	19.97550401
265537_at	13.32164189	13.32164189	11.9964031	13.61268735
265538_at	157.2122689	141.6787914	82.80178707	70.89441143
265539_at	26.34742381	21.81441681	122.5834157	131.6998598
265540_at	14.44071229	15.41037432	13.73419074	15.46644797
265541_at	8.618519126	8.093254707	8.093423003	8.093423003
265542_at	221.1988385	300.8206928	206.1784874	232.7649465
265543_at	12.49604804	13.52859395	13.50545182	13.32164189
265544_at	23.92687369	17.93293846	11.24763673	11.85776331
265545_at	10.2143819	10.72495731	11.30140315	11.30140315
265546_at	47.04208175	44.70672625	25.85121172	26.56804194
265547_at	307.2523	242.7218203	197.8852129	174.6496571
265548_s_at	7.922303657	8.050062588	8.050062588	7.978679528
265549_at	10.2143819	9.31993569	8.968396113	9.31993569
265550_at	18.3731871	13.45079929	11.70781541	10.04523911
265551_at	8.497685792	10.61785176	8.285449682	9.323295541
265552_at	10.08577471	10.80322389	9.926739959	9.53709574
265553_at	10.18701874	9.584279626	10.18701874	11.00578389
265554_at	10.71462906	10.71462906	10.71462906	10.71462906
265555_at	8.003938045	8.353148001	8.812491739	8.554479048
265556_at	12.1245559	11.18954913	12.03171172	11.47100588
265557_at	11.14674052	10.61689504	11.68487179	11.86565635
265558_at	10.21508993	10.31176939	9.754175973	9.206609783
265559_at	25.85605022	21.70897944	25.85605022	28.70042111
265560_at	8426.395989	6302.462877	3854.425158	3364.555024
265561_s_at	13.14479739	14.44311478	20.51390155	20.54364112
265562_at	6.795878219	6.656390166	6.804409654	6.402565025
265563_s_at	12.77755592	9.883897161	10.46499705	9.848199585
265564_s_at	8.383368232	9.049825662	9.245555477	8.583702054
265565_at	13.68287983	14.54690164	14.61157711	15.2169783
265566_at	18.14436925	18.96003865	18.14436925	18.14436925
265567_at	24.66186501	27.73046686	23.2543708	28.68868628
265568_s_at	8.564090255	8.564090255	8.435479042	7.818760951
265569_at	1934.305562	2353.675965	342.222309	353.8097512
265570_at	171.7432991	196.9997516	32.86089798	28.23161978
265571_s_at	236.364572	205.4381065	158.1675683	131.4754842
265572_at	17.5273988	13.78225452	236.4776455	298.6330441
265573_at	141.540391	98.79321106	52.56060584	42.89328784
265574_at	8.207483816	7.638821078	7.338626129	9.572926284
265575_at	94.73725727	97.90495691	100.9907956	82.10112012
265576_at	514.0518235	499.0705628	179.6867227	159.2092116
265577_at	14.19912379	14.23509287	12.91826128	11.68762589
265578_at	20.0772532	20.77432937	14.56486072	15.01112294
265579_at	11.58173912	11.58173912	10.91462002	11.58173912
265580_at	175.6001175	154.1231749	88.91099913	99.79599406
265581_at	336.2242566	414.4286696	144.2212559	149.9502378
265582_at	12.57825601	11.23906411	14.83044518	14.03133136
265583_at	129.5935405	115.3864495	480.1794991	524.8786117
265584_at	225.2494854	176.9073281	26.0626161	23.89935868
265585_at	168.4725809	167.1824966	81.42105444	85.7170325
265586_at	18.03440599	16.53636233	11.28097611	10.27687692
265587_at	19.90087556	16.25622083	12.66890562	10.38248585
265588_at	11.02013506	10.20235287	11.02013506	11.02013506
265589_at	9.173867052	11.29239818	10.59058223	10.8445629
265590_at	10.6068179	10.6068179	9.998488396	10.76801187
265591_at	14.82818382	14.82818382	14.87306418	14.82818382
265592_at	12.0116297	12.03463098	21.95336215	22.91388214
265593_s_at	447.3840461	582.3569904	726.2235981	751.1202067
265594_at	231.272513	171.4447599	422.5417247	391.7501454
265595_at	241.2641922	212.2307658	285.1782215	285.5105013
265596_at	108.9513302	76.07075401	76.07075401	76.07075401
265597_at	78.58161973	92.26362044	52.21817023	50.63594601
265598_at	8.40262442	8.40262442	8.629398489	10.92302089
265599_at	66.82101537	65.02353117	66.82101537	75.19162107
265600_at	7.6069599	7.6069599	7.970112012	7.6069599
265601_at	14.64656043	12.98361301	12.21092004	13.87734813
265602_at	15.35801652	15.00009778	14.61157711	15.67670007
265603_at	8.363518464	8.810598353	8.060336114	8.162097815
265604_s_at	10.06008089	9.210503343	8.400178588	9.144789744
265605_at	17.1675231	18.22579702	15.87021755	17.33192508
265606_s_at	9.359879782	8.454034501	8.353090102	8.353090102
265607_at	9.273153267	11.28246189	8.921832111	8.60061604
265608_at	8.65287763	8.302063691	10.72495731	10.68296345
265609_at	33.74331948	35.52468618	15.56323427	13.3325423
265610_at	505.9601672	483.5093573	1047.983291	1179.778248
265611_at	11.11225726	10.92923108	11.02013506	11.73788033
265612_at	8.994792497	8.819885948	10.37637055	9.225710361
265613_at	108.2602639	101.5868603	116.3219863	98.36887514
265614_at	107.3255682	70.91996898	88.81614202	90.48269531
265615_at	13.47291387	12.96670487	881.1782039	974.9402536
265616_at	9.069606762	8.405420527	8.8413091	9.161920218
265617_at	679.6744121	710.2780049	777.3227876	909.7712286
265618_at	19.84618772	15.10013979	180.2105921	196.3059376
265619_at	13.54604699	15.10013979	13.54604699	13.61268735
265620_at	18.32396745	11.92361671	914.0631309	896.226764
